NOVA_RSI2_OS,NOVA_SMA_TREND,NOVA_SMA_PULL,symbol,net,trades,win_pct,gross,costs,risk_total
15,200,3,LINKUSDT,-2824.02,1125,23.02,97.31,2921.33,0.0
15,200,5,LINKUSDT,-2839.13,1128,22.96,89.98,2929.11,0.0
15,200,10,LINKUSDT,-2788.45,1110,22.88,93.92,2882.38,0.0
5,100,3,SOLUSDT,-828.99,300,20.0,-50.06,778.92,0.0
5,100,5,SOLUSDT,-828.99,300,20.0,-50.06,778.92,0.0
5,100,10,SOLUSDT,-828.99,300,20.0,-50.06,778.92,0.0
5,200,3,SOLUSDT,-812.23,386,22.8,190.31,1002.54,0.0
5,200,5,SOLUSDT,-812.23,386,22.8,190.31,1002.54,0.0
5,200,10,SOLUSDT,-812.23,386,22.8,190.31,1002.54,0.0
10,100,3,SOLUSDT,-1763.65,626,20.61,-138.34,1625.31,0.0
10,100,5,SOLUSDT,-1763.65,626,20.61,-138.34,1625.31,0.0
10,100,10,SOLUSDT,-1768.32,625,20.48,-145.62,1622.7,0.0
10,200,3,SOLUSDT,-1641.15,761,23.52,335.32,1976.47,0.0
10,200,5,SOLUSDT,-1629.7,763,23.59,351.98,1981.68,0.0
10,200,10,SOLUSDT,-1629.7,763,23.59,351.98,1981.68,0.0
15,100,3,SOLUSDT,-2636.97,940,19.89,-196.4,2440.57,0.0
15,100,5,SOLUSDT,-2643.33,942,19.85,-197.57,2445.76,0.0
15,100,10,SOLUSDT,-2589.43,928,19.83,-179.99,2409.43,0.0
15,200,3,SOLUSDT,-2516.01,1107,22.58,358.92,2874.93,0.0
15,200,5,SOLUSDT,-2524.89,1109,22.54,355.23,2880.12,0.0
15,200,10,SOLUSDT,-2450.48,1096,22.72,395.93,2846.41,0.0
